time mnvel errvel tel svalue
2.455260027780000120e+06 -8.462999999999999190e+00 2.475000000000000089e+00 hires \nodata
2.455260035290000029e+06 -9.512000000000000455e+00 2.435000000000000053e+00 hires \nodata
2.455284840100000147e+06 1.667399999999999949e+01 2.799999999999999822e+00 hires \nodata
2.455284846369999927e+06 1.369699999999999918e+01 2.670999999999999819e+00 hires \nodata
2.455290020680000074e+06 1.836199999999999832e+01 2.376999999999999780e+00 hires \nodata
2.455290026930000167e+06 1.882499999999999929e+01 2.954000000000000181e+00 hires \nodata
2.455311763019999955e+06 2.240000000000000213e+00 2.443999999999999950e+00 hires \nodata
2.455311769189999904e+06 5.961999999999999744e+00 2.463999999999999968e+00 hires \nodata
2.455311775650000200e+06 2.763999999999999790e+00 2.513999999999999790e+00 hires \nodata
2.455311828900000080e+06 2.289000000000000146e+00 2.802999999999999936e+00 hires \nodata
2.455311833629999775e+06 2.623000000000000220e+00 2.404999999999999805e+00 hires \nodata
2.455311838099999819e+06 6.948000000000000398e+00 2.742999999999999883e+00 hires \nodata
2.455311842670000158e+06 5.331999999999999851e+00 2.553999999999999826e+00 hires \nodata
2.455311847579999827e+06 -5.739999999999999547e-01 2.494000000000000217e+00 hires \nodata
2.455311852400000207e+06 3.279999999999999805e+00 2.533999999999999808e+00 hires \nodata
2.455311857450000010e+06 3.263999999999999790e+00 2.662999999999999812e+00 hires \nodata
2.455311863030000124e+06 2.376999999999999780e+00 2.733000000000000096e+00 hires \nodata
2.455311868830000050e+06 2.390000000000000124e+00 2.733000000000000096e+00 hires \nodata
2.455311874359999783e+06 3.233000000000000096e+00 2.544000000000000039e+00 hires \nodata
2.455311879879999906e+06 5.496000000000000441e+00 2.612999999999999989e+00 hires \nodata
2.455311885089999996e+06 3.200000000000000178e+00 2.623000000000000220e+00 hires \nodata
2.455311890070000198e+06 3.739999999999999991e-01 2.325000000000000178e+00 hires \nodata
2.455311894869999960e+06 2.048000000000000043e+00 2.504000000000000004e+00 hires \nodata
2.455311899710000027e+06 -1.179999999999999938e-01 2.504000000000000004e+00 hires \nodata
2.455311904349999968e+06 1.586000000000000076e+00 2.524000000000000021e+00 hires \nodata
2.455311908880000003e+06 4.471000000000000085e+00 2.434000000000000163e+00 hires \nodata
2.455311913370000198e+06 1.945000000000000062e+00 2.593999999999999861e+00 hires \nodata
2.455311918000000063e+06 4.099999999999999756e-01 2.533999999999999808e+00 hires \nodata
2.455311922499999870e+06 -2.486000000000000210e+00 2.494000000000000217e+00 hires \nodata
2.455311927099999972e+06 5.998000000000000220e+00 2.633000000000000007e+00 hires \nodata
2.455311931919999886e+06 -5.857999999999999652e+00 2.483999999999999986e+00 hires \nodata
2.455311937930000015e+06 -3.294999999999999929e+00 2.891999999999999904e+00 hires \nodata
2.455311943969999906e+06 -6.620000000000000329e-01 2.255999999999999783e+00 hires \nodata
2.455311948849999812e+06 1.012000000000000011e+00 2.682999999999999829e+00 hires \nodata
2.455311953989999834e+06 5.250000000000000222e-01 2.722999999999999865e+00 hires \nodata
2.455311958839999977e+06 2.338999999999999968e+00 2.434000000000000163e+00 hires \nodata
2.455311963750000112e+06 2.829999999999999738e-01 2.693000000000000060e+00 hires \nodata
2.455311968690000009e+06 -6.073000000000000398e+00 2.544000000000000039e+00 hires \nodata
2.455311973780000117e+06 -4.189999999999999836e-01 2.584000000000000075e+00 hires \nodata
2.455311978749999776e+06 -5.000000000000000104e-03 2.504000000000000004e+00 hires \nodata
2.455311983599999920e+06 -4.809999999999999831e-01 2.713000000000000078e+00 hires \nodata
2.455311988760000095e+06 -1.366999999999999993e+00 2.733000000000000096e+00 hires \nodata
2.455312800720000174e+06 -1.561700000000000088e+01 1.937999999999999945e+00 hires \nodata
2.455312806989999954e+06 -1.615399999999999991e+01 1.927999999999999936e+00 hires \nodata
